"team_location","athlete_display_name","athlete_jersey","athlete_headshot_href"
"California Baptist","Hunter Goodrick","10","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4593836.png"
"California Baptist","Yvan Ouedraogo","24","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592706.png"
"California Baptist","Brantly Stevenson","4","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702353.png"
"California Baptist","Dominique Daniels Jr.","1","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5178207.png"
"California Baptist","Blondeau Tchoukuiegno","3","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4593989.png"
"California Baptist","Jonathan Griman","14","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5178211.png"
"California Baptist","Tasman Goodrick","5","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5178209.png"
"California Baptist","Malik Wade","21","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702040.png"
"California Baptist","Tylen Riley","11","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5178210.png"
"California Baptist","Chris Chiles","2","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5178208.png"
"California Baptist","Scotty Washington","12","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4896852.png"
"California Baptist","Kendal Coleman","0","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4703671.png"
"California Baptist","Zach Wrightsil","23","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4405311.png"
"California Baptist","Tyler Isaak","32","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106313.png"
"California Baptist","Brady Cook","13","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106310.png"
"Oregon","Mahamadou Diawara","24","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432875.png"
"Oregon","Kwame Evans Jr.","10","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4683769.png"
"Oregon","Brennan Rigsby","4","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5105622.png"
"Oregon","Jackson Shelstad","3","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4845361.png"
"Oregon","Jermaine Couisnard","5","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4396948.png"
"Oregon","James Cooper","12","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4912212.png"
"Oregon","Kaleb McCloud","20","https://a.espncdn.com/combiner/i?img=/i/headshots/nophoto.png"
"Oregon","Keeshawn Barthelemy","9","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5105621.png"
"Oregon","Kario Oquendo","0","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4896463.png"
"Oregon","Gabe Reichle","23","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4702388.png"
"Oregon","Jadrian Tracey","22","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4701030.png"
