"player","class","pos","team","stretch_big","draws_fouls","passing_big","rim_protector","oreb","dreb","Dim.1","Dim.2","Dim.3","Dim.4"
"Julius Randle","NBA","F-C","NYK",0.864583333333333,0.53125,0.979166666666667,0.104166666666667,0.0520833333333333,0.739583333333333,-2.00416978503807,2.05232822640689,-0.152103408856672,0.131981061861609
"Nikola Vučević","NBA","C","CHIORL",0.802083333333333,0.0104166666666667,0.875,0.28125,0.145833333333333,0.895833333333333,-2.11115238499958,1.50791360968516,0.622277161286845,-1.41904986809936
"Nikola Jokić","NBA","C-F","DEN",0.677083333333333,0.604166666666667,1,0.645833333333333,0.395833333333333,0.927083333333333,-0.347374735837126,2.00067883347953,1.34070600542728,0.12415088003621
"Domantas Sabonis","NBA","C-F","INDSAC",0.5,0.791666666666667,0.989583333333333,0.427083333333333,0.427083333333333,0.84375,0.117981197098034,2.15778196668743,0.450716063170817,0.570288590330414
"Bam Adebayo","NBA","C-F","MIA",0.145833333333333,0.770833333333333,0.927083333333333,0.666666666666667,0.25,0.614583333333333,0.493601388003739,1.10766737503909,0.990121227946724,1.21739194761577
"Rudy Gobert","NBA","C","MINUTA",0.114583333333333,1,0.125,0.875,0.708333333333333,0.989583333333333,2.9430797888226,0.00172715684428524,0.954862752507171,-0.211578993753862
"Joel Embiid","NBA","C","PHI",0.65625,0.96875,0.96875,0.833333333333333,0.208333333333333,0.875,0.00147270756273433,1.83642962963463,1.82217244489643,1.22838539953591
"Jonas Valančiūnas","NBA","C","MEMNOP",0.572916666666667,0.34375,0.708333333333333,0.239583333333333,0.75,0.979166666666667,0.146240327351436,1.7240063639653,-0.235419992990697,-1.38384543553697
"Jarrett Allen","NBA","C-F","BRKCLE",0.25,0.864583333333333,0.479166666666667,0.614583333333333,0.677083333333333,0.697916666666667,1.64801448806038,0.500972663391685,0.20418151703552,0.387819230348491
"Deandre Ayton","NBA","C","PHO",0.333333333333333,0.114583333333333,0.416666666666667,0.270833333333333,0.520833333333333,0.78125,-0.0272688279525751,0.255921001719776,-0.29679259207468,-1.6905482923129
"Jakob Poeltl","NBA","C","SASTOR",0.541666666666667,0.427083333333333,0.770833333333333,0.75,0.770833333333333,0.416666666666667,0.176003105814102,0.289398652707641,0.653015412635527,0.374385508173786
"Clint Capela","NBA","C","ATL",0.0416666666666667,0.354166666666667,0.104166666666667,0.510416666666667,0.927083333333333,0.96875,2.27949944126793,-0.152161481271816,-0.0901045506505093,-1.97732524629738
"Ivica Zubac","NBA","C","LAC",0.208333333333333,0.875,0.375,0.489583333333333,0.75,0.666666666666667,1.85635473107868,0.345277104569027,-0.353851118333495,0.225753049040343
